Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2025-04-24,55114.53515625,55213.48405240126,54619.79067549372,55015.586260098746,10580377
2025-04-25,55114.53515625,55807.1774293088,55015.586260098746,55807.1774293088,12183303
2025-04-28,55213.484375,55312.43327172939,54916.63768481182,55213.484375,9341518
2025-04-29,55213.484375,55906.12665210573,55015.58658154122,55114.535478270605,10295518
2025-04-30,54916.63671875,55411.38119369369,54718.73892877252,55312.43229870495,13014189
2025-05-02,53729.25,54916.63674033149,53630.30110497237,54421.89226519337,22454204
2025-05-07,54026.09375,54421.88930860806,53729.247081043955,53927.14486034798,17136991
2025-05-08,54026.09375,54916.63375686813,53927.14486034798,54520.83819826007,16320532
2025-05-09,54223.9921875,54421.889969206204,53828.19662408759,54125.043296646894,7814322
2025-05-12,56994.55859375,56994.55859375,54421.88754611545,54619.78531901042,15414702
2025-05-13,56301.91796875,57588.25352866872,56202.96907952549,57093.50908254614,16842801
2025-05-14,56796.6640625,57291.40852297474,56400.86849412021,56895.61295459495,12468089
2025-05-15,56697.71484375,57984.0504335733,56499.81706070026,56796.663735274866,13139736
2025-05-16,56202.96875,56895.61097051056,56104.019861355635,56796.6620818662,10385352
2025-05-19,55213.484375,55807.177755376346,54916.63768481182,55807.177755376346,9802105
2025-05-20,55312.43359375,56104.024772193654,55114.53579913909,55609.28028566637,9080577
2025-05-21,55114.53515625,56005.07522161131,55114.53515625,55609.279637006286,7794181
2025-05-22,54125.04296875,54916.63409077925,53927.145188242685,54718.73631027194,15254278
2025-05-23,53630.30078125,54619.789725553506,53531.35188681965,54421.8919366928,11247115
2025-05-26,54125.04296875,54421.88963951097,53135.55406621344,53333.45184672075,10901337
2025-05-27,53333.453125,53927.14648075139,53234.50423237477,53630.29980287569,13439520
2025-05-28,55312.43359375,55510.331388360915,53630.302339557245,53729.2512368627,17516283
2025-05-29,55510.328125,55807.17479946524,55015.583667557934,55609.27701648841,12936810
2025-05-30,55609.27734375,56598.76626445729,55213.48177546708,55609.27734375,26219683
2025-06-02,56202.96875,56697.71319322183,55609.2754181338,55708.22430677817,12870515
2025-06-04,57192.45703125,57291.40591884732,56202.968155276816,56598.76370566609,19649983
2025-06-05,58478.79296875,59270.384074925976,57291.40630948604,57489.30408603003,23266027
2025-06-09,59171.4375,59765.130852842805,58874.5908235786,59765.130852842805,19609659
2025-06-10,58577.7421875,59468.28218697212,58181.94663217905,59369.333298141886,15305760
2025-06-11,59270.38671875,59468.28450412145,58775.64225532137,58874.59114800709,13610734
2025-06-12,58874.58984375,59369.33429621849,58676.69206276261,59072.4876247374,17755115
2025-06-13,57687.203125,59567.23204331047,57093.509782375644,59567.23204331047,20705979
2025-06-16,56598.765625,57489.30564357518,56301.91895214161,57390.35675262238,22200872
2025-06-17,57489.3046875,59171.43580572289,56796.6624623494,57192.45801957831,28637003
2025-06-18,59171.4375,59171.4375,57291.4085493311,57390.35744147157,17620705
2025-06-19,58577.7421875,59963.026631123306,58379.84440983953,59864.07774229307,16876278
2025-06-20,58874.58984375,59171.43651523109,58478.79428177521,58775.640953256305,18072251
2025-06-23,57390.35546875,57885.09991244612,56994.559913793106,57786.151023706894,16551694
2025-06-24,59864.08203125,59963.03092716942,58676.69528021694,58775.64417613636,23737899
2025-06-25,60655.671875,60952.518556280585,59666.18293739804,60853.56966252039,23933612
2025-06-26,59567.234375,60655.67221241695,59270.38769206811,60655.67221241695,19402300
2025-06-27,60529.9375,61326.384046052626,59733.49095394737,59833.04677220395,17340470
2025-06-30,59534.37890625,60928.16035221572,59534.37890625,60928.16035221572,17110294
2025-07-01,59932.60546875,60828.60787609012,59932.60546875,60131.71711482559,13650991
2025-07-02,60529.9375,60629.49331825657,59534.379317434206,59932.60259046053,15047951
2025-07-03,63516.61328125,63516.61328125,60828.60613611873,61027.71777649882,32040639
2025-07-04,63018.8359375,64412.617459024485,62720.1684686019,64412.617459024485,23748959
2025-07-07,61425.94140625,63018.83453834076,61425.94140625,62620.61125531807,17164708
2025-07-08,61127.2734375,62122.83163680782,60729.050157776874,61326.38507736156,20213724
2025-07-09,60131.71484375,61127.27303652732,59932.60320519454,61127.27303652732,17533415
2025-07-10,60729.05078125,60928.16242315574,60131.71585553279,60330.82749743853,14768473
2025-07-11,62321.9453125,62521.05695886581,60928.163787939295,61027.7196111222,19140650
2025-07-14,62222.38671875,62321.9425375,61525.4959875,62023.27508125,13563846
2025-07-15,63417.05859375,63516.614415718206,61724.60962029042,62023.27708619505,18442202
2025-07-16,64412.6171875,64412.6171875,62819.724026758115,63417.058962036324,23042660
2025-07-17,66403.734375,66503.29019865068,64113.95043103448,65607.2877857946,39448683
2025-07-18,66801.953125,67498.84384314455,66005.50658997764,66702.3973081222,23951531
2025-07-21,67498.84375,68494.40191740413,66901.50884955752,67100.62048303835,17723148
2025-07-22,65706.84375,68195.73934659091,65308.62045454545,67797.51605113636,20829006
2025-07-23,66105.0625,66204.61831701807,64611.725244728914,65905.95086596385,15687058
2025-07-24,65706.84375,66503.2903409091,65607.28792613636,66204.62286931818,12660193
2025-07-25,65607.2890625,66005.51236485205,65209.06576014795,65408.17741132397,8080910
2025-07-28,70087.296875,70087.296875,66901.51065340909,67897.06884765625,35332500
2025-07-29,70286.40625,70485.51788243627,68494.40155807366,70485.51788243627,28190940
2025-07-30,72277.5234375,73372.63742897728,70286.4070893595,70684.6303589876,34761444
2025-07-31,71082.859375,73671.31083683473,70684.63607317927,72675.7525822829,26568072
2025-08-01,68593.9609375,71680.19140058054,68494.4051161103,69888.18661556604,24038534
2025-08-04,69390.40625,69888.18534791966,68394.8480541607,69191.29461083213,14780072
2025-08-05,69589.515625,71182.40868651646,69390.40399231044,70684.62960479256,14392903
2025-08-06,68494.40625,69091.74118822675,67996.62713481105,68892.62954215116,12542415
2025-08-07,70186.8515625,70684.63065159574,69390.4050199468,70485.51901595746,15008213
2025-08-08,71481.078125,72078.4130396936,70385.96411472841,70684.6315720752,22241128
2025-08-11,70684.6328125,71779.74684198944,70485.52117077465,71680.19102112677,11354253
2025-08-12,70784.1875,72078.41315049227,70784.1875,70784.1875,15797656
2025-08-13,71580.6328125,71779.74444758345,71082.85372479138,71580.6328125,12305742
2025-08-14,71281.96875,71580.6362168296,70883.74546089386,71580.6362168296,11946122
2025-08-18,69689.0703125,70883.74008928571,69689.0703125,70784.18427455357,13595591
2025-08-19,69689.0703125,70385.961015625,69390.40286830357,70087.29357142857,10533082
2025-08-20,70186.8515625,70385.9631981383,69091.73756648936,69788.6282912234,17445516
2025-08-21,70286.40625,71580.6318608357,70286.40625,71182.40859596318,18843833
2025-08-22,71082.859375,71481.08267682072,70485.5244222689,71381.52685136555,9277432
2025-08-25,71182.4140625,71481.0815340909,70684.63494318182,71381.52571022727,10345178
2025-08-26,69987.7421875,70784.18875577881,69987.7421875,70485.52129267425,14712519
2025-08-27,70286.40625,70585.07369865439,69489.95972025496,69788.62716890934,10523405
2025-08-28,69290.8515625,70087.2981321839,69290.8515625,69788.63066855245,11578024
2025-08-29,69390.40625,70186.85280667145,69390.40625,69788.62952833573,11682267
2025-09-01,67299.734375,68295.29257581361,67200.17855491863,68096.18093565089,12002343
2025-09-02,68793.0703125,69191.29358493126,67498.84467709842,67498.84467709842,10604028
2025-09-03,69489.9609375,69489.9609375,68494.40275787965,68892.62602972779,10283009
2025-09-04,69788.6328125,69788.6328125,68992.18621834878,69191.2978668866,12284414
2025-09-05,69191.296875,70087.29928057553,69191.296875,69987.74345773381,11526724
2025-09-08,69788.6328125,70186.8561095756,69290.8536911555,69489.9653396933,9263135
2025-09-09,71182.4140625,71182.4140625,69689.07670454546,69788.63252840909,14870245
2025-09-10,72277.5234375,72476.63507231405,71281.96526342975,71481.0768982438,21928565
2025-09-11,73073.96875,73273.08038147139,71779.74314543596,72874.85711852861,20793501
2025-09-12,75065.0859375,75264.19757128647,73870.41613478116,74268.6394023541,28219678
2025-09-15,76160.203125,77255.31715686274,75562.86819852941,76857.09387254901,19908805
2025-09-16,79047.3203125,79146.87613153337,76359.31319859887,76558.42483666561,28218265
2025-09-17,77852.6484375,78748.65078524617,76757.53445692135,78748.65078524617,20856317
2025-09-18,79943.3203125,80142.43194466065,78250.8714391345,78748.65051953612,25619035
2025-09-22,83129.109375,83626.88847305388,80739.76970434132,81137.99298278443,27529656
2025-09-23,84323.78125,85518.45111422669,83228.66720779221,85418.8952922078,23610263
2025-09-24,85020.671875,85120.22769686769,83328.22290324942,83826.00201258782,18300997
2025-09-25,85717.5625,85817.11832171892,83726.44606562136,84025.11353077817,19665151
2025-09-26,82930.0,84921.11644657863,82033.99759903962,84622.44897959183,24071193
2025-09-29,84200.0,85000.0,83200.0,83300.0,13069094
2025-09-30,83900.0,84900.0,83400.0,84600.0,16319061
2025-10-01,86000.0,86200.0,84700.0,84900.0,22039361
2025-10-02,89750.0,90300.0,88700.0,89300.0,49883028
2025-10-10,94400.0,94500.0,92700.0,94000.0,35269748
2025-10-13,93300.0,93400.0,90700.0,91300.0,23883308
2025-10-14,91600.0,96000.0,90200.0,95300.0,35545235
2025-10-15,95000.0,95300.0,92100.0,92300.0,21050111
2025-10-16,97700.0,97700.0,95000.0,95300.0,28141060
2025-10-17,97900.0,99100.0,96700.0,97200.0,22730809
2025-10-20,98100.0,98300.0,96000.0,97900.0,17589756
2025-10-21,97500.0,99900.0,97300.0,98500.0,22803830
2025-10-22,98600.0,98600.0,95500.0,97100.0,15937611
2025-10-23,96500.0,98500.0,96300.0,96800.0,18488581
2025-10-24,98800.0,99000.0,97700.0,97900.0,18801925
2025-10-27,102000.0,102000.0,100600.0,101300.0,22169970
2025-10-28,99500.0,101000.0,99100.0,100900.0,20002282
2025-10-29,100500.0,101000.0,99100.0,100200.0,20899788
2025-10-30,104100.0,105800.0,102000.0,102400.0,34570017
2025-10-31,107500.0,108600.0,103300.0,105000.0,54824564
